gene_id,EE_50-0,EE_50-30,EE_50-60,EE_50-90,EE_50-120,EE_50-150,EE_50-180,EE_50-210,EE_50-240,EE_50-300,EE_50-330,EE_50-360,EE_50-390,EE_50-420,EE_50-450,EE_50-480,EE_50-510,EE_50-540,EE_50-570,EE_50-600,EE_50-630,EE_50-660,EE_50-690,EE_50-720,L1,LIN35,L2,L3,L4,L4MALE,YA,AdultSPE9,DauerEntryDAF2,DauerDAF2,DauerExitDAF2
T08B2.5,29.0363,40.4543,40.4861,39.8843,55.4469,19.2306,8.85934,10.4028,3.31523,58.3043,60.4307,62.7803,58.7435,61.1712,56.2478,64.8862,50.9534,71.69800000000001,56.4032,46.9839,46.6982,47.4428,32.345,37.4576,40.5388,38.9122,42.8586,36.6368,28.7726,26.0149,65.1059,59.8093,36.6326,59.5804,22.1801
T08B2.10,1001.0,910.1439999999999,798.342,1215.31,1079.21,3268.27,6968.52,5219.43,5831.43,2141.88,1569.23,1306.16,2363.06,2180.11,1633.39,2551.37,3160.03,1996.79,1616.92,1715.89,1551.71,1714.71,1938.7,1753.03,18833.6,12164.1,8494.55,7818.09,7600.68,5742.25,5184.54,4508.79,8925.72,7259.47,12354.2
C48E7.6,0.0,0.0362878,0.0331665,0.730028,0.046418,0.0425085,0.0378907,0.119203,0.058041999999999996,8.76276,15.2762,1.44035,5.95319,9.47105,18.0121,19.1416,16.7242,13.2245,20.3928,18.7256,21.7533,23.0112,8.225489999999999,15.6559,3.50446,1.8909599999999998,6.4828,3.26828,2.38865,1.96105,1.12673,0.442755,2.5676400000000004,3.71474,2.05785
C48E7.5,0.0853935,0.0,0.0,0.381036,0.0,0.131057,0.170453,0.5330010000000001,0.174941,6.4709900000000005,10.6515,1.95138,4.4524099999999995,7.645510000000001,12.6325,11.9965,11.7111,10.1202,12.7693,9.37675,9.22557,10.8601,12.2149,14.4332,5.33335,3.24895,5.47994,3.14717,1.7050400000000001,2.3931400000000003,1.74132,0.661134,2.24556,1.41378,1.32997
C48E7.11,57.6179,47.7781,20.1123,40.3915,34.0624,229.27,115.382,116.469,115.34299999999999,201.63400000000001,106.09100000000001,295.04400000000004,270.556,342.695,215.671,244.563,210.938,179.093,226.00900000000001,101.682,100.287,103.333,66.3184,101.361,48.802,35.0599,34.3224,30.4066,38.2502,36.9188,66.6733,77.1417,44.4423,40.3757,38.0131
C48E7.3,6.6589100000000006,12.6423,9.2109,11.2205,15.1059,269.04200000000003,41.8264,94.6385,10.821,75.4579,46.0236,54.93600000000001,69.5918,57.6872,48.275,44.165,29.6009,26.1962,29.3676,20.4428,17.9046,18.8435,11.2231,19.9507,20.6452,22.3865,20.0272,21.4476,32.0037,8.15828,46.7482,24.2511,29.5987,35.5147,35.9636
C48E7.2,38.2561,37.1714,31.006,32.2328,32.6868,19.3593,8.80535,8.75332,3.97125,21.311999999999998,18.7803,23.9424,21.6755,17.2181,18.1155,16.3022,14.1,14.4867,13.4079,11.3815,11.1515,9.36706,9.8829,11.3731,18.2245,15.8584,15.1782,16.1389,20.5442,7.1579999999999995,40.1986,26.6574,31.3573,50.9135,33.544000000000004
C10G11.8,0.0,0.251535,0.0,0.0571813,0.105191,0.20746900000000001,0.0,0.0,0.092165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0803523,0.050930300000000005,0.0,0.0,0.0,0.0,0.028010300000000002,0.0914881,6.63104,60.8126,221.24900000000002,61.9123,2.07203,0.0634548,0.134805,0.0
C10G11.9,0.23136199999999998,0.459168,1.18559,0.607223,0.8287770000000001,0.0,2.41771,0.46391000000000004,0.5466489999999999,0.0,0.45503299999999997,0.0,0.0,0.263846,0.29619,0.22152199999999997,0.0,0.0,0.0,0.0,0.0,0.531266,0.0,0.361503,0.0404051,0.388764,0.101536,44.1082,327.393,763.836,111.01,11.3842,0.263317,0.028247900000000003,0.0
F26B1.3,212.949,99.5926,50.1417,41.2528,44.1042,5.35111,7.60933,7.4808699999999995,8.572560000000001,8.51262,6.32457,30.3767,11.6095,12.4919,9.5084,9.89546,10.4003,19.5491,15.450999999999999,21.6197,14.9618,16.0735,19.5838,21.7515,25.171999999999997,55.5718,62.8426,66.6197,91.1778,26.2219,292.927,344.833,25.4163,32.6265,44.9971
