gene_id	Embryo0-2h	Embryo2-4h	Embryo4-6h	Embryo6-8h	Embryo8-10h	Embryo10-12h	Embryo12-14h	Embryo14-16h	Embryo16-18h	Embryo18-20h	Embryo20-22h	Embryo22-24h	L1	L2	L3+12h	L3PS1-2	L3PS3-6	L3PS7-9	Prepupae	Prepupae+12h	Prepupae+24h	Prepupae+2d	Prepupae+3d	Prepupae+4d	Male+1d	Male+5d	Male+30d	Female+1d	Female+5d	Female+30d
FBgn0036454	0.0510377	0.155956	0.0924002	0.536384	0.299458	0.511486	1.11834	3.10702	7.81483	34.9798	27.1816	25.7856	13.2297	3.75854	8.94603	19.9734	54.0732	22.5167	3.69869	7.78587	9.75782	10.6923	41.3434	31.6573	45.2544	44.5491	39.336	31.1281	8.74314	6.3122
FBgn0085274	0	0	0	0	0.0519204	0	0	0	0	0.042645	0	0.0339781	0	0.0298161	0	1.63146	3.91882	5.8134	4.61249	7.80901	10.9485	13.8148	12.2924	6.45974	15.152	19.3697	14.2417	0	0	0
FBgn0259099	0.0422008	0.0528668	0.0711815	0.0395571	0.0717322	0.047123	0.0546702	1.85907	6.09447	9.59396	5.74388	4.6851	2.28615	1.70858	0.746962	0.169987	0.434259	0.530376	0.419744	0.669602	1.01277	0.740777	1.99681	2.66605	2.23793	2.73826	4.15664	1.46457	0.406872	0.530492
FBgn0040809	3.04011	65.4162	128.638	51.4596	31.0171	4.60258	1.38477	0	0	0.834342	0.845134	1.25366	0	0.185208	0	0	0	0	0	0.221042	0.173059	0	0	0	0	0	0	0	0	0
FBgn0040487	4.36052	78.8503	179.298	114.676	77.7442	10.9347	3.13785	0.782039	0.652818	1.08335	0.61724	1.11611	0	0.0261482	0	0	0	0	0.0638289	0.0359819	0.0366505	0.147303	0	0.111839	0	0.0380417	0	0.158241	0.0472991	0.154499
FBgn0026320	38.814	619.123	1675.19	1496.25	1253.92	674.724	247.604	71.3199	15.7894	27.9594	12.7283	19.361	2.76727	1.22574	3.49866	17.1129	37.3806	63.5092	74.7326	85.2982	68.604	12.5195	1.1446	5.07823	0.153276	0.386075	0.103917	4.25161	1.4798	0.082864
FBgn0000216	16.3234	191.188	644.714	663.614	372.966	23.8598	11.1918	4.20625	3.56953	3.16663	0.935921	4.67888	0.34373	0.288585	2.35101	9.95762	11.892	22.2917	19.1152	37.1613	9.35403	1.72218	0.137862	0.323307	0	0.14228	0	0.865289	0.755839	0.448461
FBgn0040296	4.39132	58.7371	171.747	185.352	138.325	82.6414	42.2887	5.57582	2.61788	4.24953	2.69111	3.86097	0.40382	0.236788	0.488901	2.18309	2.48884	4.72112	4.59237	4.20296	7.80907	1.06016	0.147425	0.313473	0	0.0945329	0	0.21131	0.263561	0.0214397
FBgn0036459	0	0.0930595	0.400819	1.04655	1.36164	0.359521	0.206676	0.0155999	0	0.0158213	0	0.01381	0	0	0	0	0	0.00862412	0.0137553	0.00782244	0.0668021	0.0192979	0.0182816	0.0153436	0.274543	0.322119	0.204744	0	0	0
FBgn0036460	33.5296	19.6189	58.4194	67.9142	60.5798	46.8717	36.4312	25.9188	19.9672	14.6592	43.4541	33.7486	118.595	55.4215	40.4656	16.7978	19.6894	21.2752	17.0993	18.6741	20.5801	19.9182	12.8739	17.8423	15.8324	20.4084	25.1014	51.9726	49.5601	50.4118
FBgn0002778	44.9718	30.2945	30.4988	16.5067	26.415	53.1652	51.5044	44.4112	55.1378	50.0874	36.2175	39.151	57.7807	30.9618	20.2613	11.9427	17.1761	33.215	53.8631	9.0124	9.39109	24.1299	11.4955	7.41212	12.2381	13.9771	13.451	32.9036	46.0973	44.3008
